time;duration;id;artist;title;hook;cover
2025-05-21 00:00:04;223;31524364;Madsen;Goodbye Logik;https://hooksswr-a.akamaihd.net/99005/2144323.m.mp3;no cover
2025-05-21 00:04:40;223;31524376;Enya;Orinoco flow (Sail away);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:08:21;218;31524380;Clueso;Gewinner;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:12:09;158;31524385;Peter & Gordon;A world without love;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:14:57;262;31524388;Paul Young;Every time you go away;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:19:46;227;31524393;Coleske;Take me where the sun is shining;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:23:18;214;31524397;Secret Service;Ten o'clock postman;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:26:39;257;31524401;Hooters;All you zombies;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:31:57;267;31524407;Boy Meets Girl;Waiting for a star to fall;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:36:40;222;31524411;Steam System;Na na, hey hey, kiss him, goodbye;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:40:30;181;31524415;Klaus Lage;Komm, halt mich fest;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:43:32;249;31524419;Berlin;Take my breath away (Love theme);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:47:39;378;31524423;Eagles;Lyin' eyes;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:54:13;211;31524430;Michael Bublé;Everything;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 00:57:35;205;31524435;"Hammond & West; Albert Hammond; Albert West";Give a little love;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:05:01;224;31524442;Harry Chapin;Cat's in the cradle;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:08:42;259;31524445;Spandau Ballet;true;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:14:14;206;31524451;INXS;Beautiful girl;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:17:35;223;31524456;Alexa Feser;Glück;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:22:29;232;31524460;Pet Shop Boys;Always on my mind;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:26:27;228;31524467;Patrick Swayze;She's like the wind;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:32:02;254;31524471;Roxette;It must have been love;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:37:09;246;31524476;Passenger;Let her go;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:41:17;204;31524481;The Cats;Let's dance;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:45:05;219;31524483;Kim Carnes;Bette Davis eyes;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:49:26;221;31524490;Münchener Freiheit;Bis wir uns wiederseh'n;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:53:03;244;31524494;Eric Carmen;Hungry eyes;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 01:57:07;186;31524498;The Sweet;Co-Co (Coco);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:04:08;247;31524505;Cock Robin;Just around the corner;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:08:13;165;31524510;The Fortunes;Here comes that rainy day feeling again;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:11:09;236;31524513;Eros Ramazzotti;Un'emozione per sempre;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:15:00;246;31524517;Leo Sayer;When I need you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:19:07;259;31524522;Sting;Englishman in New York;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:23:29;228;31524526;Sarah Connor;Bedingungslos;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:27:17;162;31524531;Shakin' Stevens;Marie, Marie;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:31:04;191;31524534;Gilbert O'Sullivan;Matrimony;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:34:13;194;31524540;Robbie Williams;The road to Mandalay;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:37:36;203;31524543;Stephanie Mills;Never knew love like this before;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:40:54;218;31524547;Heinz Rudolf Kunze;Längere Tage;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:44:41;254;31524552;10cc;Dreadlock holiday;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:49:03;237;31524556;Camouflage;Love is a shield;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:53:13;187;31524563;The Beatles;Ticket to ride;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 02:56:21;239;31524566;Hot Chocolate;It started with a kiss;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:04:26;240;31524571;The Bee Gees;Ordinary lives;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:08:23;221;31524577;Andreas Bourani;Ultraleicht;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:12:07;164;31524579;Dion & The Belmonts;The wanderer;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:14:53;245;31524583;Bruce Springsteen;My hometown;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:18:55;222;31524588;Ace Of Base;Always have, always will;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:22:39;211;31524592;Smokie;It's your life;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:26:14;267;31524594;Foreigner;Urgent;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:31:52;245;31524601;Madonna;Papa don't preach;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:36:14;130;31524605;The American Breed;Bend me, shape me;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:38:21;257;31524609;Simple Minds;Don't you (forget about me);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:42:50;252;31524615;Udo Lindenberg;Ein Herz kann man nicht reparieren;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:46:44;243;31524619;Melanie;What have they done to my song, Ma;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:50:08;168;31524624;Kelvin Jones;Call you home;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:52:54;239;31524628;John Waite;Missing you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 03:57:04;186;31524632;Boney M.;Sunny;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 04:04:19;157;31524646;Bay City Rollers;You made me believe in magic;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 04:06:49;209;31524650;Roy Orbison;You got it;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 04:10:43;263;31524656;Amanda Marshall;Let it rain;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
2025-05-21 04:15:03;221;31524660;Ich + Ich;So soll es bleiben;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28465
