time;duration;id;artist;title;hook;cover
2024-09-13 00:04:11;226;30437367;Black;Everything's coming up roses;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:07:55;175;30437375;Kenny Rogers;Ruby, don't take your love to town;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:11:54;238;30437381;Emma Bunton;What took you so long?;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:15:51;196;30437386;Exile;You thrill me;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:19:08;245;30437391;Steve Winwood;Valerie;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:24:01;209;30437397;Frida Gold;Wovon sollen wir träumen;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:27:27;280;30437403;Elton John;I guess that's why they call it the Blues;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:33:32;274;30437413;George Harrison;My sweet Lord;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:38:00;216;30437418;Michael Jackson;Will you be there;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:43:20;193;30437425;Nik Kershaw;I won't let the sun go down on me;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:46:35;201;30437432;Heinz Rudolf Kunze;Einmal noch und immer wieder;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:51:09;378;30437437;Eagles;Lyin' eyes;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 00:56:56;212;30437445;Barry McGuire;Eve of destruction;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:04:09;202;30437451;Kim Wilde;Kids in America;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:07:28;221;30437460;Ich + Ich;Stark;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:12:02;155;30437467;Diana Ross & The Supremes;Baby love;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:14:35;221;30437473;Bruce Springsteen;Bobby Jean;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:18:49;238;30437481;Sasha;If you believe;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:22:36;273;30437487;Pussycat;Mississippi;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:27:05;256;30437494;Kool & The Gang;Joanna;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:32:46;271;30437503;Abba;Lay all your love on me;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:37:10;172;30437509;The Turtles;Happy together;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:40:27;238;30437514;Pur;Freunde;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:44:35;143;30437521;Kylie Minogue;Tears on my pillow;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:46:54;211;30437526;Smokie;It's your life;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:51:01;246;30437532;Passenger;Let her go;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 01:54:59;294;30437541;Tracy Chapman;Fast car;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:04:16;187;30437555;Boney M.;I see a boat on the river;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:07:21;223;30437559;Roxy Music;Jealous guy;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:12:34;253;30437568;"Tina Turner; Sting";On silent wings;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:16:45;200;30437572;Udo Lindenberg;König von Scheißegalien 2018 (Walk on the wild side);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:20:02;237;30437576;Milli Vanilli;Girl you know it's true;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:24:13;222;30437581;Steam System;Na na, hey hey, kiss him, goodbye;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:27:46;249;30437587;Mental As Anything;Live it up;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:33:04;211;30437596;Laura Branigan;Gloria;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:36:28;229;30437603;Reamonn;Supergirl;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:40:09;205;30437608;Billie Jo Spears;Sing me an old fashioned Song;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:43:34;229;30437611;Spandau Ballet;Gold;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:47:20;202;30437621;Herwig Mitteregger;Immer mehr;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:50:56;165;30437628;Elvis Presley;In the ghetto (The vicious circle);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:53:34;260;30437635;Fleetwood Mac;Gypsy;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 02:56:56;214;30437640;Secret Service;Ten o'clock postman;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:03:43;270;30437648;The Alan Parsons Project;Eye in the sky;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:08:05;182;30437656;Eruption;I can't stand the rain;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:11:54;208;30437660;Chris de Burgh;Live life, live well;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:15:26;208;30437663;Earth & Fire;Weekend;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:19:44;232;30437670;Pet Shop Boys;Always on my mind;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:23:24;264;30437674;Silbermond;Das Beste;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:27:45;219;30437682;Depeche Mode;Just can't get enough;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:32:24;192;30437692;Neil Diamond;Song sung blue;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:35:30;236;30437696;Wet Wet Wet;Love is all around;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:40:46;222;30437701;Olivia Newton-John;Physical;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:44:25;205;30437709;Münchener Freiheit;Herz aus Glas;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:48:19;229;30437715;Rod Stewart;The first cut is the deepest;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:51:40;242;30437721;Gianna Nannini;Bello e impossibile;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 03:55:48;262;30437728;Queen;A kind of magic;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:04:05;217;30437743;Howard Jones;What is love;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:07:39;185;30437750;Annett Louisan;Drück die 1;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:11:07;166;30437754;Manfred Mann;My name is Jack;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:13:51;235;30437757;The Pointer Sisters;Jump (for my love);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:17:51;245;30437766;Supertramp;The logical song;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:22:37;274;30437771;Lighthouse Family;High;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:27:05;218;30437778;Al Corley;Square rooms;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:31:36;216;30437786;Heart;Alone;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:35:12;195;30437792;The Rolling Stones;Ruby Tuesday;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-09-13 04:39:00;270;30437800;"Stefan Waggershausen; Alice";Zu nah am Feuer;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
