time;duration;id;artist;title;hook;cover
2025-03-24 00:04:07;207;31280600;Fiction Factory;Feels like heaven;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:07:25;193;31280603;Christina Stürmer;Engel fliegen einsam;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:12:06;127;31280608;Beach Boys;Barbara Ann;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:14:09;207;31280610;Will To Power;Baby, I love your way;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:17:25;173;31280617;Dr. Hook;Sexy eyes;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:21:29;219;31280621;Charles & Eddie;Would I lie to you?;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:24:39;226;31280625;Carpenters;Only yesterday;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:28:15;181;31280630;Johnny Logan;Hold me now;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:32:34;212;31280635;"Mike Oldfield; Maggie Reilly";Moonlight shadow;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:35:56;170;31280638;Hollies;Jennifer Eccles;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:39:45;219;31280640;Marius Müller-Westernhagen;Engel;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:43:18;212;31280646;Johnny Hates Jazz;I don't want to be a Hero;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:46:41;209;31280652;Billie Jo Spears;Sing me an old fashioned song;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:49:57;236;31280655;Marvin Gaye;Sexual healing;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:54:16;205;31280659;Cats;One way wind;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 00:57:23;193;31280663;Ryan Paris;Dolce vita;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:04:17;186;31280668;Eddie Rabbitt;I love a rainy night;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:07:14;270;31280672;Don Johnson;Tell it like it is;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:12:54;172;31280678;Vaya Con Dios;Nah neh nah;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:15:45;225;31280683;Max Giesinger;Die Reise;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:19:34;219;31280687;"Paul McCartney; Wings";Another day;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:23:58;227;31280693;Michael Jackson;Billie Jean;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:27:39;159;31280697;Spencer Davis Group;Keep on running;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:31:24;197;31280702;Pet Shop Boys;Always on my mind;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:34:33;222;31280703;Coldplay;Viva la vida;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:39:49;257;31280710;Albert Hammond;When I'm gone;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:44:04;225;31280717;Stevie Wonder;I just called to say I love you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:47:47;230;31280719;"Stefan Waggershausen; Viktor Lazlo";Jesse;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:53:02;216;31280724;Elvis Presley;Suspicious minds;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 01:56:33;219;31280729;Enya;Orinoco flow (Sail away);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:04:01;296;31280737;Starship;We built this city;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:08:45;186;31280742;John Denver;Take me home country roads;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:13:37;225;31280746;Caro Emerald;A night like this;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:17:18;186;31280750;Ralph McTell;Streets of London;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:20:29;229;31280755;Bryan Ferry;Kiss and tell;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:25:54;160;31280759;Crispian St. Peters;You were on my mind;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:28:33;181;31280764;Annett Louisan;Das Spiel;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:32:24;174;31280768;Abba;Honey, honey;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:35:13;222;31280772;Ten Sharp;You;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:39:09;187;31280775;Don Williams;Listen to the radio;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:42:14;219;31280780;Karussell;Als ich fortging;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:45:50;203;31280785;Dawn;Tie a yellow ribbon round the ole oak tree;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:49:15;235;31280789;Alison Moyet;For you only;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:52:54;175;31280792;Cliff Richard;I could easily fall in love with you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:55:32;144;31280797;Kylie Minogue;Tears on my Pillow;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 02:57:35;205;31280801;Doobie Brothers;Listen to the music;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:03:53;219;31280806;Culture Club;Karma Chameleon;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:07:18;222;31280811;Münchener Freiheit;Kleine Wunder;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:12:01;152;31280814;Marianne Faithfull;As tears go by;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:14:29;201;31280819;Mink DeVille;Each word's a beat of my heart;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:17:44;185;31280822;Middle of the Road;Soley soley;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:20:56;265;31280826;East 17;Stay another day;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:25:18;183;31280829;Billy Swan;I can help;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:28:11;154;31280834;Fleetwood Mac;Oh Diane;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:31:34;263;31280837;Channel 5;Isn't it you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:35:54;156;31280842;Troggs;Wild thing;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:39:52;208;31280846;Peter Maffay;Die wilden Jahre;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:43:13;234;31280850;Cars;Drive;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:47:00;157;31280853;Dolly Parton;Jolene;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:49:36;293;31280857;Kid Rock;All summer long;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:54:22;211;31280865;Jennifer Rush;Destiny;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 03:57:46;242;31280869;Rod Stewart;This old heart of mine;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:04:01;185;31280876;Chicory Tip;Son of my father;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:06:51;185;31280878;Boney M;Brown girl in the ring;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:11:00;231;31280884;Bryan Adams;(Everything I do) I do it for you;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:14:48;193;31280888;Adel Tawil;Weinen;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:18:00;220;31280892;Pussycat;Mississippi;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:21:45;239;31280894;Phil Collins;Do you remember;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:25:35;140;31280900;Bruce Channel;Hey Baby;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:27:53;167;31280904;"UB 40; Chrissie Hynde";I got you babe;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:31:31;202;31280908;Juice Newton;Queen of hearts;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:34:48;212;31280912;Michael Bublé;Everything;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:38:18;269;31280917;Janis Joplin;Me and Bobby McGee;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:42:42;227;31280921;Spandau Ballet;Gold;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:46:27;235;31280925;Pur;Indianer;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:51:00;235;31280931;Mary Hopkin;Those were the days;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:54:52;228;31280936;Modern Talking;You're my heart, you're my soul (Original Short Mix '84);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 04:57:56;166;31280939;"Olivia Newton-John; John Travolta";You're the one that I want;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:03:55;137;31280959;J. J. Cale;Carry on;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:06:10;229;31280962;Captain & Tennille;Do that to me one more time;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:10:36;195;31280979;Train;Drive by;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:13:44;169;31280986;Lynn Anderson;Rose garden;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:16:29;208;31280998;Alphaville;Big In Japan;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:19:51;144;31281013;Simon & Garfunkel;Homeward bound;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:22:14;230;31281023;Silbermond;Leichtes Gepäck;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:26:01;182;31281033;Bertie Higgins;Key Largo;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:30:00;219;31281043;Village People;Y.M.C.A.;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:33:33;211;31281052;"Israel ""Iz"" Kamakawiwo'ole";Over the rainbow;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:37:19;233;31281062;Suzanne Vega;Luka;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:41:44;343;31281077;BAP;Verdamp lang her;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:47:20;201;31281094;America;Ventura Highway;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:50:36;232;31281105;Tanita Tikaram;Twist in my sobriety;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:54:22;144;31281118;Manfred Mann;Ha! Ha! said the clown;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 05:56:45;214;31281126;Hooters;500 miles (away from home);no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2025-03-24 06:05:01;189;31281149;Cat Stevens;Morning has broken;https://hooksswr-a.akamaihd.net/99006/M0056488.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.9903288?stationid=28469
2025-03-24 06:08:11;107;31281151;The Box Tops;The letter;https://hooksswr-a.akamaihd.net/99006/2056686.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.5114170?stationid=28469
2025-03-24 06:11:46;224;31281174;Pussycat;Smile;https://hooksswr-a.akamaihd.net/99006/M0374264.009.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.44058896?stationid=28469
2025-03-24 06:15:31;177;31281176;Heinz Rudolf Kunze;Dein ist mein ganzes Herz;https://hooksswr-a.akamaihd.net/99006/M0061923.004.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.7886577?stationid=28469
2025-03-24 06:19:18;134;31281205;Neil Sedaka;Oh Carol;https://hooksswr-a.akamaihd.net/99006/M0369523.003.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.43955056?stationid=28469
2025-03-24 06:21:33;176;31281206;Albert Hammond;Down by the river;https://hooksswr-a.akamaihd.net/99006/M0004336.003.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4306139?stationid=28469
2025-03-24 06:24:05;275;31281222;Earth, Wind & Fire;Fantasy;https://hooksswr-a.akamaihd.net/99006/M0041145.002.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6591922?stationid=28469
2025-03-24 06:28:40;236;31281236;Don McLean;Vincent;https://hooksswr-a.akamaihd.net/99006/M0020661.014.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.5087424?stationid=28469
2025-03-24 06:33:52;202;31281264;Terry Jacks;Seasons in the sun;https://hooksswr-a.akamaihd.net/99006/1989187.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6587798?stationid=28469
2025-03-24 06:37:14;274;31281267;Lionel Richie;Do it to me;https://hooksswr-a.akamaihd.net/99006/M0002484.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4051481?stationid=28469
2025-03-24 06:44:00;206;31281281;The Kinks;Sunny afternoon;https://hooksswr-a.akamaihd.net/99006/1986299.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.14345795?stationid=28469
2025-03-24 06:47:26;212;31281309;Howard Carpendale;Hello again;https://hooksswr-a.akamaihd.net/99006/M0026263.011.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.5500265?stationid=28469
2025-03-24 06:51:01;215;31281321;Boys Town Gang;Can't take my eyes off you;https://hooksswr-a.akamaihd.net/99006/M0096415.023.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.9343863?stationid=28469
2025-03-24 06:54:34;162;31281334;The Hollies;Bus Stop;https://hooksswr-a.akamaihd.net/99006/1985699.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.5486639?stationid=28469
2025-03-24 06:57:16;195;31281351;Harpo;Motorcycle mama;https://hooksswr-a.akamaihd.net/99006/M0025872.002.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6394046?stationid=28469
2025-03-24 07:05:36;140;31281400;Shakin' Stevens;Shirley;https://hooksswr-a.akamaihd.net/99006/M0046158.018.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.7083019?stationid=28469
2025-03-24 07:07:57;122;31281401;Sam Cooke;Wonderful world;https://hooksswr-a.akamaihd.net/99006/M0063892.027.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.8028996?stationid=28469
2025-03-24 07:12:23;270;31281431;Roxy Music;Jealous guy;https://hooksswr-a.akamaihd.net/99006/2141345.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4861518?stationid=28469
2025-03-24 07:16:54;191;31281433;Herbert Grönemeyer;Musik nur, wenn sie laut ist;https://hooksswr-a.akamaihd.net/99006/M0006152.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4598780?stationid=28469
2025-03-24 07:20:14;188;31281458;The Mamas and the Papas;Dream a little dream of me;https://hooksswr-a.akamaihd.net/99006/M0040007.018.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6537599?stationid=28469
2025-03-24 07:23:21;219;31281471;Harry Chapin;Cat's in the cradle;https://hooksswr-a.akamaihd.net/99006/2136380.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.43998707?stationid=28469
2025-03-24 07:27:02;234;31281488;The Detroit Spinners;Working my way back to you;https://hooksswr-a.akamaihd.net/99006/2038643.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6588487?stationid=28469
2025-03-24 07:30:56;130;31281500;Dion;Dream lover;https://hooksswr-a.akamaihd.net/99006/2154127.m.mp3;no cover
2025-03-24 07:34:59;267;31281527;The Bee Gees;Stayin' alive;https://hooksswr-a.akamaihd.net/99006/M0024976.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.5486967?stationid=28469
2025-03-24 07:39:17;225;31281529;The Cars;Drive;https://hooksswr-a.akamaihd.net/99006/2100405.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6281017?stationid=28469
2025-03-24 07:44:20;142;31281565;Diana Ross & The Supremes;Baby love;https://hooksswr-a.akamaihd.net/99006/M0454150.003.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.45295326?stationid=28469
2025-03-24 07:46:42;209;31281570;Wolfgang Petry;Ganz oder gar nicht;https://hooksswr-a.akamaihd.net/99006/M0007754.008.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4581405?stationid=28469
2025-03-24 07:50:44;137;31281592;The Drifters;Save the last dance for me;https://hooksswr-a.akamaihd.net/99006/1992062.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.25395250?stationid=28469
2025-03-24 07:53:03;204;31281598;The Bellamy Brothers;Crossfire;https://hooksswr-a.akamaihd.net/99006/M0298714.002.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.29478975?stationid=28469
2025-03-24 07:56:13;152;31281611;Sutherland Brothers & Quiver;Arms of Mary;https://hooksswr-a.akamaihd.net/99006/M0087332.005.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.9125378?stationid=28469
2025-03-24 07:58:45;153;31281624;Dusty Springfield;I only want to be with you;https://hooksswr-a.akamaihd.net/99006/2181744.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6787341?stationid=28469
2025-03-24 08:05:56;181;31281655;Smokie;Don't play your Rock'n'Roll to me;https://hooksswr-a.akamaihd.net/99006/M0117172.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.9553809?stationid=28469
2025-03-24 08:08:58;296;31281656;Mary Hopkin;Those were the days;https://hooksswr-a.akamaihd.net/99006/M0041248.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6597057?stationid=28469
