time;duration;id;artist;title;hook;cover
2024-11-07 00:03:31;174;30675466;Neil Diamond;Cracklin' Rosie;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:06:22;148;30675473;Kylie Minogue;Tears on my pillow;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:08:51;215;30675478;Freddie Mercury;Living on my own;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:13:20;202;30675485;Mark Forster;Au revoir;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:16:57;247;30675488;Pink Floyd;Wish you were here;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:21:09;234;30675495;Supertramp;It's raining again;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:25:21;158;30675504;Mamas & The The Papas;California dreamin';no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:27:57;262;30675508;Foreigner;Urgent;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:32:58;239;30675514;Lionel Richie;Say you, say me;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:36:52;236;30675522;James Blunt;1973;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:41:34;188;30675536;Maxine Nightingale;Right back where we started from;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:44:37;255;30675542;Daryl Hall & John Oates;Maneater;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:50:16;218;30675555;Silly;Bataillon d' amour;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:53:42;205;30675562;Eric Carmen;Hungry eyes;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 00:56:17;217;30675566;Eric Clapton;Wonderful tonight;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
2024-11-07 01:03:39;196;30675579;Kool & The Gang;Fresh;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28469
