time;duration;id;artist;title;hook;cover
2024-11-03 00:03:38;154;30657875;Lost Frequencies X Elley Duhé X X Ambassadors;Back to you;https://hooksswr-a.akamaihd.net/28468/1774701.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50189514?stationid=28468
2024-11-03 00:06:09;221;30657879;Shakira;Underneath your clothes;https://hooksswr-a.akamaihd.net/28468/M0003247.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4157145?stationid=28468
2024-11-03 00:09:45;182;30657885;Only The Poets;Jump!;https://hooksswr-a.akamaihd.net/28468/1859190.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50752430?stationid=28468
2024-11-03 00:13:24;153;30657894;Kamrad;Friends;https://hooksswr-a.akamaihd.net/28468/2101708.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53043112?stationid=28468
2024-11-03 00:15:49;227;30657903;Patrick Swayze;She's like the wind;https://hooksswr-a.akamaihd.net/28468/M0016489.003.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4587914?stationid=28468
2024-11-03 00:20:21;214;30657906;Chappell Roan;Good luck, babe!;https://hooksswr-a.akamaihd.net/28468/2083407.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52720065?stationid=28468
2024-11-03 00:20:02;183;30657914;Chappell Roan;Hot to go!;https://hooksswr-a.akamaihd.net/28468/2102804.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53047387?stationid=28468
2024-11-03 00:23:50;179;30657916;B.o.B feat. Hayley Williams;Airplanes;https://hooksswr-a.akamaihd.net/28468/M0253178.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.16053427?stationid=28468
2024-11-03 00:26:46;161;30657925;Rea Garvey & VIZE;The one;https://hooksswr-a.akamaihd.net/28468/M0626395.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47426735?stationid=28468
2024-11-03 00:30:23;175;30657928;Sophie And The Giants;Shut up and dance;https://hooksswr-a.akamaihd.net/28468/2051673.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52711081?stationid=28468
2024-11-03 00:33:07;224;30657936;Jamie Cullum;Don't stop the music;https://hooksswr-a.akamaihd.net/28468/M0238784.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.14492193?stationid=28468
2024-11-03 00:36:47;168;30657946;Dasha;Austin;https://hooksswr-a.akamaihd.net/28468/2037722.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52683087?stationid=28468
2024-11-03 00:42:39;133;30657953;Jax Jones x Zoe Wees;Never be lonely;https://hooksswr-a.akamaihd.net/28468/2026967.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52392109?stationid=28468
2024-11-03 00:44:43;281;30657970;Prince;Gold;no hook;https://onair.swr.de/covers/swr/fallback?stationid=28468
2024-11-03 00:49:15;247;30657975;Lady Gaga & Bruno Mars;Die with a smile;https://hooksswr-a.akamaihd.net/28468/2098411.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53043243?stationid=28468
